,Titles,Content,Original Summary,Link,Section
45,Life on Mars? Australian rocks may hold clues,"Rocks in the Australian Outback dating back 3.5 billion years may help scientists work out whether there has ever been life on Mars. Researchers studying the Australian rocks say only ancient microbes could have shaped them the way they are.Nasa's Perseverance rover should look for similarities when exploring rocks of a similar age on Mars, they say.The wheeled robot is searching for evidence that biology took hold on the Red Planet early in its history.Scientists from London's Natural History Museum working with Nasa have described a range of features, both large and small, in a series of domes in western Australia that appear inarguably to have been made by ancient microbes.Perseverance is exploring a large crater called Jezero and is expected to come across locations next year that may well display phenomena tantalisingly similar to what is seen in the Earth rocks.These are preserved examples of what are called stromatolites.     They are created when many millimetre-scale layers of bacteria and sediment build up over time into larger, dome-like forms. These edifices occur today at the edge of calm, nutrient-rich lagoons. But there are examples from billions of years ago preserved in the Australian Outback.Indeed, some of the Aussie specimens identified by geologists represent among the earliest traces of life on our planet.Dr Keyron Hickman-Lewis, from London's Natural History Museum (NHM), and colleagues, looked in detail at one particular set of stromatolites. They're the oldest yet discovered, part of the Dresser Formation in the Pilbara region of the Outback and are dated to 3.48 billion years ago.They don't contain little fossils of microbes, or even any organic (carbon-rich) compounds that might be indicative of past life. But the NHM-led team thinks it has managed to establish signatures that mark out the rocks' biological origin. The researchers used a range of high-resolution analytical and imaging techniques to detail structures whose existence, they argue, can only really be explained by life's activity, as opposed to something that might result naturally in the environment.One large-scale feature is the undulating top surface of the stromatolites, which arises as photosynthetic microbes grow towards the light. The undulations emerge because biology doesn't grow at the same rate in the same way in three dimensions.On the micro-scale, there are tiny columns or pillars within the rock that trace the connections between the individual ""mats"" of microbes that build the stromatolites.""These are strongly, strongly representative of a kind of microbial growth texture, which we call palisade structures,"" Dr Hickman-Lewis explained. ""We know palisade structures abundantly from environments on the modern Earth; we can see examples that are of a similar size and of a similar arrangement. And these occur very much in these domed growth layers,"" he told BBC News.The relevance here to Mars and the Perseverance rover is that Jezero Crater looks from satellite imagery to have held a large lake deep in its past. And at the edge of the crater are carbonate rocks that could represent the sediments laid down at the shoreline. Might Jezero have had microbes growing stromatolites in the crater's calm, nutrient-rich, shallow waters?The timeline would not be dissimilar to Earth, just a little earlier. Scientists think the lake existed about 3.7 billion years ago.Perseverance will probably get to the crater edge towards the end of next year. At that point, it will be deploying its instruments to try to locate rocks that share some of the characteristics seen in the Pilbara stromatolites.Prof Caroline Smith is head of the Earth science collections at the NHM and, like Dr Hickman-Lewis, is working on the rover mission.She said they would be using what they've learnt from Australia to steer some of the rover's investigations, looking for those tell-tale biological signatures.     ""We could identify some of them using the imaging systems on the rover, but it will depend - first, obviously, on whether stromatolites were even there, and then how well preserved they might be. ""Are they preserved more on a macro or micro scale? Are they ubiquitous, or maybe they are going to be limited in a smaller area. So if we're looking in the wrong place, then we won't necessarily see them,"" she cautioned.A slam dunk identification of ancient biology in Jezero Crater is a very long shot. More likely would be the discovery of rock samples that represent excellent candidates for further study back on Earth. This is the primary objective of Perseverance - to drill and store samples that can be collected by later missions and brought home for analysis.Proving life existed will be difficult, but Dr Hickman-Lewis believes his team's study has developed a template to do it: ""If an archaeologist discovered the foundations of a ruined city, they would nonetheless know it was built by people because it would bear all the hallmarks of being built by people - doorways and roads and bricks. In very much the same way, there are numerous structural elements integral to stromatolites that allow us to identify their processes of formation and decode their origins."" The analysis of Earth's oldest stromatolites is published in the journal Geology.",,https://www.bbc.com/news/science-environment-63589825,/news/science_and_environment
46,Satellites readied for first UK orbital launch,"They may look like nondescript grey boxes, but they are about to make history.Inside these containers are the nine satellites that will become the first-ever payloads to launch to orbit from the UK.They will go up on a rocket operated by British entrepreneur Sir Richard Branson's Virgin Orbit company.The mission, likely to occur sometime in the next few weeks, will be initiated from Cornwall.It will see a repurposed Virgin Atlantic jumbo carry the rocket and its passengers out over the Atlantic to a designated launch zone just south of Ireland.At the appropriate moment, at an altitude of 35,000ft, the 747 will release the rocket, which will then ignite its engine to begin the climb high into the sky.The event is being billed as a big one for the UK space sector. Internationally renowned for making satellites of all sizes, the country's space industry has always had to send its products to foreign spaceports to get them into orbit.Adding a launch capability means the sector will in future be able to do everything from first design through to mission operations.This means cost and time savings for British firms but the hope is the final piece of the jigsaw will also make the UK a more attractive place for other nation's companies to come and invest.The first Cornwall launch will support a range of applications, both civil and defence.A number of those nine satellites will be gathering intelligence, such as listening across radio transmissions coming from ships. One payload that has attracted particular attention is Wales's first-ever satellite.Produced by Cardiff start-up Space Forge, it will demonstrate key components for future mini orbital factories. The company envisions making high-value, high-fidelity materials in the weightless environment of space before bringing them back down to Earth.All the satellites are what are termed cubesats. They are not much bigger than a toaster. Miniaturisation of electronics enables engineers now to cram a lot of performance into very small volumes.The satellites are held at the top of the rocket in dispensers. These are the boxes you see in the image at the head of this page.When the Virgin rocket reaches the correct altitude, doors will open on the dispensers and springs will gently eject the spacecraft.Exactly when the mission will occur is a little uncertain just now.Both Spaceport Cornwall (Newquay Airport) and Virgin Orbit are waiting on licences that have yet to be issued by the Civil Aviation Authority (CAA).The CAA estimated at the beginning of the year that it would take six to 12 months to process a licence application from a spaceport, and nine to 18 months from a rocket operator.Last week, the House of Commons Science and Technology Committee issued a report in which it said the time being taken to issue the licences was ""disappointing"", given that everyone had been led to believe a launch was likely in September.The CAA will not comment on individual licences but emphasises the detail and seriousness that goes into producing the many thousands of pages that support an application.The authority is using what it believes is a streamlined process, what it calls an ""outcomes-focused regime"". This means setting the broad standards that are expected in terms of design and safety, for example, but leaving it up to the licensee as to how they meet those requirements. The CAA has said that in time it will move to multiple-launch licences, allowing operators to run many missions on the one approval. ",,https://www.bbc.com/news/science-environment-63562005,/news/science_and_environment
47,Nasa space probes document big impacts on Mars,"Space probes have witnessed a big impact crater being formed on Mars - the largest in the Solar System ever caught in the act of excavation. A van-sized object dug out a 150m-wide bowl on the Red Planet, hurling debris up to 35km (19 miles) away.In more familiar terms, that's a crater roughly one-and-a-half times the size of London's Trafalgar Square. And its blast zone would fit neatly in the area inside the UK capital's orbital motorway, the M25.Scientists detected the event using the seismometer on the US space agency's InSight lander. The probe picked up the ground vibrations.Confirmation came from follow-up imagery acquired by Nasa's Mars Reconnaissance Orbiter (MRO). This satellite routinely pictures the planet and could produce the before-and-after proof of a major surface disturbance, corresponding to the exact timing and in the expected direction and distance (3,500km) from InSight.""This is the biggest new crater we've ever seen,"" said Dr Ingrid Daubar from Brown University. ""It's about 500ft wide, or about two city blocks across, and even though meteorites are hitting the planet all the time, this crater is more than 10 times larger than the typical new craters we see forming on Mars. ""We thought a crater this size might form somewhere on the planet once every few decades, maybe once a generation, so it was very exciting to be able to witness this event.""The post-impact observation shows huge chunks of buried water-ice have been excavated and thrown around the edges of the crater. Buried water-ice has never before been seen so close to Mars' equator. Such deposits would be an important resource for future human missions to the planet. ""That ice can be converted into water, oxygen or hydrogen. That could be really useful,"" said Dr Lori Glaze, Nasa's director of planetary science. Using its French/UK-built seismometer instrument, Nasa's Insight lander has detected more than 1,300 quakes on Mars since its arrival in November 2018. But the Magnitude 4 tremor resulting from this particular event, which occurred on 24 December, 2021, immediately piqued the interest of mission scientists because it contained a component of so-called ""surface waves"".The vast majority of quakes picked up by InSight have produced the traditional primary and secondary waves associated with rock movements deep within the planet.  These newly detected ripples were travelling in the uppermost portion of Mars, through its crust.""This is the first-time seismic surface waves have been observed on a planet other than Earth. Not even the Apollo missions to the Moon managed it,"" said Doyeon Kim from ETH Zurich's Institute of Geophysics and a lead author on the scholarly reports appearing in Science Magazine this week.The recognition of surface waves also enabled the researchers to identify a second meteorite strike. This one, on 18 September, 2021, occurred roughly 7,500km from InSight. It was a slightly smaller event and produced a cluster of craters, the largest of which was 130m in diameter.Scientists think both impacts can provide fresh knowledge about Mars' interior. Whereas the deeply sourced quakes tell them about the structure and composition of the planet's mantle and core, the surface waves reveal new details about the overlying crust.Researchers can tell that in between the InSight lander and the impact sites, the crust has a very uniform structure and high density. This contrasts with the previously reported three layers of low-density crust directly below InSight.This realisation may have something to say, too, about the famous Mars dichotomy - the observation that the Northern Hemisphere is low and relatively flat, whereas the Southern Hemisphere of the planet is high and mountainous.Researchers have wondered whether that's because the crust in these regions is composed of different materials. But the new surface wave data and its suggestion of widespread uniformity in the crust would imply this theory is probably not the best explanation. Dr Ben Fernando from Oxford University is an InSight mission scientist. ""InSight's observations in the transition zone between the North and the South have been really valuable because clearly the crust evolved in very different ways in those regions of the planet,"" he told BBC News. ""How and why they developed the way they did is still an open question, but I think these impact events have probably provided more understanding on this topic than anything else we've done so far on the mission.""There are many craters on Mars, the consequence of billions of years of bombardment from rocks drifting through space. Some are true giants. The Hellas Basin is an impact structure over 2,000km in diameter.But the 2021 impacts are significant because scientists have the instrument data recording the moment of their creation.""Something like [the 24 December impactor] hits Earth a few times every decade, but burns up safely in the atmosphere or drops a few meteorites. We were amazingly lucky to catch this one while InSight was listening,"" commented Prof Gareth Collins from Imperial College London.The InSight mission is close to ending. Dust is settling on its solar panels, reducing their efficiency.""In the next short amount of time, perhaps somewhere between four and eight weeks as best we can can predict, we expect the lander to not have enough power to operate any longer,"" the mission's principal investigator Dr Bruce Banerdt told reporters.",,https://www.bbc.com/news/science-environment-63418056,/news/science_and_environment
48,Webb telescope's ghostly 'Pillars of Creation',"Why satisfy yourself with one course when you can have a double helping?The US space agency Nasa has issued a second image of the famous ""Pillars of Creation"" taken by the new super space telescope, James Webb.This week we get a rendering of the active star-forming region as seen by Webb's Mid-Infrared Instrument (MIRI).Last week, it was the observatory's Near-Infrared Camera (NIRCam) that was highlighting this remarkable location some 6,500 light-years from Earth.The pillars lie at the heart of what astronomers refer to as Messier 16 (M16), or the Eagle Nebula. They are the subject of intense study. Every great telescope is pointed in their direction to try to understand the physics and the chemistry in play as new stars are birthed in great clouds of gas and dust.Webb, with its 6.5m-wide mirror and high-fidelity sensors, is the latest, biggest and best space observatory to take in the scene.What's interesting about the new MIRI picture is the choice of wavelengths used to display the pillars.Ordinarily, astronomers might filter the light to make the dusty columns go very largely translucent, so that their interior, nascent stars can be seen in greater detail. This is what the NIRCam image did: it emphasised the thousands of young blue stars that are present.And MIRI is capable of taking this approach on another step. But on this occasion, the filtering has selected those wavelengths at which the dust itself actually glows.""Defying expectations that mid-infrared observations let you see through dust, this stunning image shows that they're also great for studying dust and complex molecules made to glow by the intense light of nearby hot stars,"" explained Prof Mark McCaughrean, the senior advisor for science at the European Space Agency.Some of the complex chemistry this helps accentuate involves polycyclic aromatic hydrocarbons, PAHs. These are very carbon-rich compounds. You find them on burnt toast and in the exhaust from motor vehicles. PAHs produced by stars are thought to enrich the carbon content throughout the Universe.MIRI was developed in a collaborative effort between scientists and engineers from 10 European countries, led by the UK, and Nasa's Jet Propulsion Laboratory.Its co-principal investigator is Prof Gillian Wright.""It's simply thrilling to see how well MIRI is performing. It's producing radically new science information - stuff we've never had before,"" the director of the UK Astronomy Technology Centre told BBC News.""What we see in this new image is akin to the 'skin' of the pillars, if you like. You can see filamentary structures which are where the stars are starting to burn through the dust. And you can see regions that are dark - they're so dense and cold that they're not even lighting up for MIRI.""James Webb is a collaborative project of the US, European and Canadian space agencies. It was launched in December last year and is regarded as the successor to the Hubble Space Telescope.",,https://www.bbc.com/news/science-environment-63431578,/news/science_and_environment
49,Europe's delayed Mars rover to get rescue package,"Europe's research ministers are to be asked for ""up to â¬360m"" (Â£313.5m) to start the process of reconfiguring the Rosalind Franklin Mars rover mission.The UK-built robot missed its window to go to the Red Planet this year when the West suspended all scientific co-operation with Russia.Engineers are now having to redesign the project to include only European and American components.This shift in emphasis means the robot will not now launch until 2028.A long cruise through space would result in a 2030 landing.Eight years is a long time to wait, but European Space Agency (Esa) officials are convinced the scientific imperative behind the mission will still be compelling at the end of the decade.""The point is there is no other mission that is foreseen or planned to actually go to a location on Mars that is four billion years old, and drill below the surface to look for prebiotic chemistry,"" Dr David Parker, Esa's head of human and robotic exploration, told BBC News. The future of Rosalind Franklin was put in doubt when Russia invaded Ukraine. The diplomatic fallout resulted in the suspension of the mission because it planned to not only use a Russian rocket to get off Earth, but also a Russian landing mechanism to get down to the surface of Mars. Western sanctions made such a joint undertaking impossible.Officials have since been talking to their US counterparts about a transatlantic tie-up.This would see the American space agency (Nasa) launch the rover, with European industry then taking on the responsibility for building the entry, descent and landing mechanism.Nasa's interest would be served by ensuring Rosalind Franklin's key instrument reaches Mars. This chemistry lab, called the Mars Organic Molecule Analyser, was part-developed at the Goddard Space Flight Center in the US State of Maryland.At its Esa's regular council meeting on Thursday, member-state delegations were presented with the rationale for continuing with the mission. The showcase was reportedly greeted at its conclusion with an enthusiastic round of applause.The next step is for European research ministers to approve a budget for the reconfiguration. They will have an opportunity to do this in a few weeks when they gather in Paris to set Esa's near-term programmatic goals.The â¬360m request will initiate the design work on the landing mechanism, although it should be stated that some of this money also covers the ongoing costs of Europe's Trace Gas Orbiter. This satellite, which is already at Mars, is supposed to be the communications relay for Rosalind Franklin when it finally arrives.The rover itself will need some modifications. Principal among these is the removal of two Russian scientific instruments on board, and the installation of American radioisotope heaters to keep the robot warm in the freezing environment of the Red Planet.In addition, engineers are thinking of making some upgrades. One of these could be a shake mode that would enable Rosalind Franklin to periodically rid itself of the Martian dust that over time would gather on its solar panels and reduce their efficiency.Dr Parker said next month's budget request would not be sufficient to get the rover to the launch pad in 2028, and that further development funds would be required later in the decade.Rosalind Franklin was assembled in an ultra-clean facility at the Stevenage, UK, factory of aerospace manufacturer Airbus. The company is hopeful the rover modifications can also be carried out in Britain.The rover and the Trace Gas Orbiter, collectively referred to as the ExoMars project, have so far cost Esa member states well in excess of â¬1bn. The UK alone has invested more than â¬300m, with most of this money geared to the production of the wheeled robot.",,https://www.bbc.com/news/science-environment-63336201,/news/science_and_environment
50,Poland probably hit by Ukrainian missile - Nato,"Nato Secretary General Jens Stoltenberg has told the BBC that a missile which killed two people in Poland on Tuesday was probably Ukrainian.""Most likely this is a Ukrainian air defence missile,"" he said as investigations continued into the blast near the Ukrainian border.But he stressed that Russia was ultimately to blame because of its ongoing invasion of Ukraine.Ukraine itself continues to say that Russia actually fired the missile.""I have no doubt that this is not our missile,"" President Volodymyr Zelensky said in televised remarks. ""I believe that this was a Russian missile, based on our military reports.""He said it was imperative for Ukraine to be allowed to join the investigation into the blast on the farm in Przewodow, 6km (4 miles) from the border.Ukrainian air defence systems were activated on Tuesday when Russia launched what is believed to be its biggest wave of missile strikes in the nine months since the invasion on 24 February.   Dozens of Russian missiles targeted the country but Ukraine says it managed to shoot most of them down.  The mass attack, which occurred during the G20 summit in Indonesia, caused an international outcry, while news of a missile blast inside Nato member Poland's territory raised fears that the war might be escalating dangerously.Mr Stoltenberg said Nato had pledged in response to supply a ""more advanced air defence system"" to Ukraine which is not a member of the alliance but receives extensive military aid. ""Today I attended a meeting of a support group for Ukraine where Nato allies and partners made new pledges for more advanced air defence systems so we can help to shoot down Russian missiles,"" the Nato chief said.""But the best way to prevent any instances like this in the future is for Russia to stop war.""""We have no indication that this is a deliberate attack from Russia,"" he said, speaking from Nato's headquarters in Brussels..He added, however, that there was ""no doubt that Russia is responsible because this would not have happened if Russia had not launched a barrage of missile attacks against Ukrainian cities yesterday, as they have done many times before during this war"".Polish President Andrzej Duda said earlier that although a Russian-made S-300 missile was most likely to blame, there was no evidence it had been fired by the Russian side. When asked about the possibility of peace negotiations between Moscow and Kyiv, Mr Stoltenberg said previous attempts had shown that Russia's President Vladimir Putin had ""no willingness to compromise and negotiate"".""We have to understand if Putin and Russia stop fighting we will have peace but if Zelensky and Ukraine stop fighting, then Ukraine will cease to exist as an independent sovereign nation,"" he said.The top US general also commented on the war on Wednesday, saying there might be a ""political solution where, politically, the Russians withdraw"" from Ukraine.But Army Gen Mark Milley, chairman of the Joint Chiefs of Staff, warned that an early military victory for Ukraine was unlikely despite its recent successes on the battlefield. ""The probability of a Ukrainian military victory - defined as kicking the Russians out of all of Ukraine to include what they claim as Crimea - the probability of that happening any time soon is not high, militarily,"" he told reporters at the Pentagon.",Nato chief Jens Stoltenberg tells the BBC Ukraine's air defences probably caused Tuesday's deadly blast.,https://www.bbc.com/news/world-europe-63656664,/news/world
51,Donald Trump says he'll run for president in 2024,"Former US President Donald Trump has launched his third bid for the White House, declaring: ""America's comeback starts right now.""At his Florida estate, he said: ""We have to save our country.""Mr Trump's announcement comes as some fellow Republicans blame him for the party's lacklustre performance in last week's midterm elections.President Joe Biden, who defeated Mr Trump two years ago, has said he may run for re-election in 2024.Speaking to an invited crowd from the ballroom of his Mar-a-Lago private club in Palm Beach on Tuesday night, Mr Trump, 76, said: ""We are a nation in decline. ""For millions of Americans, the past two years under Joe Biden have been a time of pain, hardship, anxiety and despair.""He continued: ""In order to make America great and glorious again, I am tonight announcing my candidacy for president of the United States.""Shortly before the speech, he filed paperwork with the Federal Election Commission formally declaring his presidential candidacy and setting up a fundraising account.Outside Mar-a-Lago, supporters gathered to wave Trump 2024 flags.Mr Trump's speech lasted for more than an hour and touched on many of the same themes he had been repeating on stage for months. These included border security, energy independence and crime, as well as attacks on Mr Biden's record in office.His wife, Melania Trump, joined him on stage at the end of the speech. But there were fewer family members present than at some of his past events and Ivanka Trump and Donald Jr did not attend.Following Mr Trump's announcement, Ivanka, who had previously served as a senior adviser in her father's administration, released a statement saying she was taking a step back from politics and would not be involved in the 2024 campaign. ""This time around, I am choosing to prioritise my young children and the private life we are creating as a family,"" she wrote.Nearly 11,000 miles (17,700km) away at the G20 summit in Bali, Indonesia, Mr Biden, 79, was asked whether he had a reaction to Mr Trump's announcement.""No, not really,"" the Democratic president said. Last week, he was filmed laughing when a reporter suggested Mr Trump's support base remained strong.Mr Trump's unusually early declaration for the election of 5 November 2024 is being seen as a tactic to steal a march on potential rivals for the Republicans' White House nomination.Although Mr Trump is the first to enter the race and instantly becomes the front-runner, he is expected to face challengers.They may include his own former Vice-President, Mike Pence, who is 63, and rising star Florida Governor Ron DeSantis, 44.In Tuesday's remarks, Mr Trump largely steered clear of rehashing his baseless claims that the 2020 election had been stolen from him by mass voter fraud.He left office after one term in 2021, refusing to acknowledge his defeat by seven million votes.His debunked conspiracy theories riled up supporters who rioted at Capitol Hill in the final days of his presidency as lawmakers met to certify President Biden's victory.Mr Trump became the first president ever to be impeached twice, although congressional Democrats were thwarted in their bid to remove him from office by Senate Republicans.He ploughed ahead with his announcement on Tuesday despite pleas from advisers to postpone until after a run-off election for a Senate seat in Georgia next month, amid fears his candidacy could prove too much of a distraction.Some conservatives have blamed Mr Trump for the Republicans' failure to achieve sweeping victories in last week's midterm elections.The party is on the verge of taking power in the US House of Representatives, but it would be by a razor-thin margin.Democrats have retained control of the Senate and may even bolster their majority after the December run-off in Georgia.Last week's results were decidedly mixed for congressional hopefuls endorsed by Mr Trump.Candidates he supported in key states such as Pennsylvania, Arizona and Michigan were defeated after echoing his election conspiracies, while others won in Ohio, Wisconsin and North Carolina.Mr Trump's White House bid comes as he is investigated on several fronts, including a justice department investigation into the removal of files marked classified from the White House to Mar-a-Lago at the end of his presidency. He is admired by conservatives for installing three Supreme Court justices and enacting sweeping tax cuts, as well as presiding over a Middle East peace deal and the killing of Islamic State's leader.But America's divisions widened during his four tumultuous years in office as he was accused of governing by tweet, equivocating over far-right violence, a chaotic response to the coronavirus pandemic, and alienating US allies with his ""America First"" policy.",The announcement sets up a possible rematch of 2020's bitter contest with President Joe Biden.,https://www.bbc.com/news/world-us-canada-63463738,/news/world
52,Xi criticises Trudeau in awkward exchange at G20,"China's Xi Jinping has been filmed accusing Justin Trudeau of leaking meeting details, days after they held talks at the G20 summit in Bali.President Xi told the Canadian PM, via a translator, this was inappropriate and accused him of lacking ""sincerity"".He was likely referring to reports that Mr Trudeau discussed alleged Chinese espionage and interference in Canadian elections at the sit down.The talks, which happened behind closed doors, were the pair's first in years.In the footage, filmed by journalists at the now finished gathering of world leaders, President Xi and Mr Trudeau can be seen standing close to each other and conversing via a translator.""Everything we discussed has been leaked to the papers and that is not appropriate,"" the Chinese leader told Mr Trudeau in Mandarin.It captures a rare candid moment of President Xi, whose image is normally carefully curated by Chinese state media.After smiling and nodding his head, the Canadian PM responded by saying ""in Canada we believe in free and open and frank dialogue and that is what we will continue to have"".""We will continue to look to work constructively together but there will be things we disagree on,"" he added.Before Mr Trudeau could finish, President Xi cut his counterpart off and asked that he first ""create the conditions"" - eventually shaking Trudeau's hand and walking away.The short but revealing exchange highlighted tensions between China and Canada, running high since the detention of Huawei Technologies executive Meng Wanzhou in 2018 and Beijing's subsequent arrest of two Canadians on spying charges. All three were later released.But tensions recently resurged following the arrest of Yuesheng Wang, a public utility worker at Hydro-Quebec, who was charged with espionage.Mr Wang ""obtained trade secrets to benefit the People's Republic of China, to the detriment of Canada's economic interests,"" Canadian police said in a statement.At the time, Mr Trudeau and President Xi were at the G20 summit on the Indonesian island of Bali. ",China's president was filmed rebuking his Canadian counterpart over alleged leaks of their meeting.,https://www.bbc.com/news/world-asia-china-63654337,/news/world
53,Family's grief at Zambian's shock death in Ukraine,"The death of a 23-year-old Zambian student who had been recruited to fight for Russia in Ukraine has left the family devastated, his older sister has told the BBC.It's not just that he has died but also the unanswered questions over the young man's brutal death in a foreign land.Lemekhani Nyirenda was serving a drugs-related prison sentence in Russia but was freed and deployed to the front lines in Ukraine.""We want to know how he was conscripted without his family being notified? Was he coerced?"" asked Muzang'alu Nyirenda.The family felt ""robbed"" by her brother's death, she added.Zambia's Foreign Affairs Minister Stanley Kakubo announced on Monday that Mr Nyirenda, who had been studying at the Moscow Engineering Physics Institute, was serving a nine-year prison sentence for a drug offence.He said Mr Nyirenda was killed on the front lines in September, but Russian authorities had only just informed Zambia of the death.  Mr Kakubo said that Zambia had demanded answers over the student's death and why he had been sent to Ukraine. Most Zambians are shocked by the news, but also frustrated that the government has not shared more information to explain the circumstances that led to the student being deployed to Ukraine. According to Ms Nyirenda, her brother travelled to Russia in 2019 to study nuclear engineering on a government sponsorship, a partnership between the two countries which dates back many years. ""There is so much we don't know. Why didn't the Zambian government know he was being sent to war to fight?"" his older sister told the BBC.""The people that took him to that war looked down on us as a family, he was nothing to them. They used him,"" she said.Mr Nyirenda was working as a part-time courier when he was arrested in 2020 with a parcel containing drugs, his sister said. ""We believe he didn't know what was in the package he delivered, he told us he didn't. He would get text messages for pick-ups and instructions on where to deliver them,"" she said. ""On one occasion he was stopped by the police and searched and they found drugs in the package. He explained he was working for an online courier and didn't know about the parcels but he was arrested,"" Ms Nyirenda said.The family, however, always remained hopeful that he would return home safely.  But while he was serving his term at a medium security prison he was recruited, his family believe, by the Wagner Group, a Russian mercenary group that has been conscripting prisoners to fight for Russia in Ukraine in exchange for their freedom.In September, leaked footage showed Yevgeny Prigozhin, head of the Wagner group, outlining the rules of fighting, such as no deserting or sexual contact with Ukrainian women, and then giving the prisoners five minutes to decide if they want to sign up.Ominously, he told the prisoners he would get them out of jail alive but said he could not promise to bring them back to alive.Born to university professionals Edwin and Florence Nyirenda, Lemekhani was the youngest of four children. Even while in prison he found a way to communicate with his loved-ones in Zambia.The last time his parents heard from him was on 31 August on a cryptic phone call that filled them with concern.""He told my parents: 'I am no longer in prison but where I am is confidential'. My parents were worried, we all were when he shared this. We knew he was a prisoner in a foreign country where he had no rights, we were worried about what was going but he could not share more and my parents didn't probe him further,"" Ms Nyirenda said. The family notified the Zambian authorities of the odd call and were assured of an investigation into his whereabouts, but months later came the news of the young man's death.""He was young, they stole his life away from him. He's got a twin brother, they've stolen my brother's other half,"" his sister said through tears.""Lemekhani had so many plans. He was studying so he could come back and pamper my mother. He had plans to help rebuild Zambia. They've robbed us,"" she said. ""There is no closure, only questions. We want him home so we can lay him to rest in peace. We want him back with the people who love him but we deserve answers,"" said Ms Nyirenda.His body, according to Zambian officials, has been transported to Russia's southern border town of Rostov in preparation for his repatriation to Lusaka where his family will bury him. Further inquiries by the BBC to Zambia's ministry of foreign affairs have gone unanswered. Zambia has taken a neutral position on the Russia-Ukraine war, like many other African countries, but says it condemns any form of war.",Lemekhani Nyirenda's sister tells the BBC she wants to know why her brother was fighting for Russia.,https://www.bbc.com/news/world-africa-63648681,/news/world
54,Five protesters receive death sentences in Iran,"Four people have been sentenced to death on the charge of ""enmity against God"" in connection with the recent anti-government protests in Iran.Revolutionary Courts in Tehran said one of the unnamed ""rioters"" hit and killed a policeman with his car, the judiciary's Mizan news agency said.The second possessed a knife and a gun, and the third blocked traffic and caused ""terror"", it alleged.The fourth was convicted of a knife attack, Mizan reported late on Tuesday.Human rights activists condemned the death sentences - which brought the total to five since Sunday - saying they were the results of unfair trials.""Protesters don't have access to lawyers in the interrogation phase, they are subjected to physical and mental torture to give false confessions, and sentenced based on the confessions,"" the director of Norway-based Iran Human Rights, Mahmood Amiry-Moghaddam, told AFP news agency.Although the judiciary did not disclose the identities of the five individuals sentenced to death, Amnesty International said information about their charges had led human rights activists to believe they were Mohammad Ghobadlou, Manouchehr Mehman Navaz, Mahan Sedarat Madani, Mohammad Boroughani and Sahand Nourmohammad-Zadeh.It added that they were among at least 21 detainees charged with security-related offences that are punishable by death under Iran's Sharia-based legal system, including ""enmity against God"" and ""corruption on Earth"".At least 348 protesters have been killed and 15,900 others arrested in a crackdown by security forces on what Iran's leaders have portrayed as foreign-backed ""riots"", according to the Human Rights Activists News Agency (HRANA), which is also based outside the country. The women-led protests against clerical rule erupted after the death in custody three months ago of Mahsa Amini, a 22-year-old woman who was detained by morality police for allegedly breaking the strict rules on hijabs.The judiciary's announcements came after 12 people were reportedly killed amid a fresh wave of unrest that began on Tuesday.Activists called for three days of demonstrations and strikes to commemorate ""Bloody November"" - a reference to the deadly crackdown on the last major nationwide protests that began on 15 November 2019, when many Iranians reacted angrily to a sudden increase in fuel prices. Videos posted on social media on Tuesday showed crowds in Tehran and other major cities chanting slogans against the Supreme Leader, Ayatollah Ali Khamenei, including ""death to the dictator"". At a metro station in the capital, protesters set fire to a headscarf on a platform as a crowd shouted that Ayatollah Khamenei ""will be toppled"". Another video from a metro station appeared to show officers beating people inside a train carriage, while in a third, people were seen running and falling over as security forces allegedly opened fire.On Wednesday night, state media reported that at least five people were killed when armed ""terrorist elements"" opened fire at protesters and police officers at a market in the south-western city of Izeh. The deputy governor Khuzestan province said the dead included three men, a woman and a girl.Opposition activist collective 1500tasvir also said it had received reports of a high number of casualties in Izeh and accused security forces of killing a 10-year-old boy. It also posted a video that it said showed some protesters setting fire to a seminary in the city.Earlier, Kurdish human rights group Hengaw reported that a male protester was shot and killed by security forces in the north-western city of Kamyaran, in Mahsa Amini's home province of Kurdistan.He had been standing near the house of another man who was killed by direct fire from security forces on Tuesday, it said. Another two men were also killed in the nearby city of Sanandaj, it added.Hengaw, which is based in Norway, also said that protesters seized control of the city of Bukan, in neighbouring West Azerbaijan province, on Tuesday night. State media reported that ""rioters"" shot dead two members of the Islamic Revolutionary Guard Corps (IRGC), including a colonel, in Bukan and Kamyaran on Tuesday. They also said that a cleric who was a member of the paramilitary Basij Resistance Force, which is controlled by the IRGC, died after being hit by a Molotov cocktail in the southern city of Shiraz.State media have so far reported the deaths of 38 security personnel since the protests began. HRANA has put the toll at 43. ",The verdicts are handed down by courts in Tehran amid a fresh wave of anti-government unrest.,https://www.bbc.com/news/world-middle-east-63648629,/news/world
